date,temperature_2m,cloud_cover,wind_speed_10m,diffuse_radiation,direct_normal_irradiance,shortwave_radiation,location,fetch_timestamp_utc
2025-03-12 04:00:00+00:00,3.3044999,100.0,9.0,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 05:00:00+00:00,3.4545,100.0,8.64,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 06:00:00+00:00,3.7045,72.0,9.36,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 07:00:00+00:00,3.7045,13.0,7.92,34.534622,111.20893,47.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 08:00:00+00:00,4.7045,15.0,9.36,80.813095,108.65785,105.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 09:00:00+00:00,5.6545,21.0,8.28,115.66584,91.93533,148.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 10:00:00+00:00,6.9545,91.0,12.959999,150.06361,500.06046,377.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 11:00:00+00:00,7.0545,98.0,12.24,184.62979,159.71686,268.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 12:00:00+00:00,7.0545,100.0,12.959999,188.54779,116.84971,253.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 13:00:00+00:00,7.5045004,26.0,11.5199995,191.58075,326.3412,368.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 14:00:00+00:00,7.2545004,100.0,11.879999,176.82034,237.19934,293.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 15:00:00+00:00,7.4045,100.0,9.72,147.42911,267.151,255.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 16:00:00+00:00,7.3045,9.0,9.36,107.16656,178.27623,158.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 17:00:00+00:00,6.7545004,0.0,6.8399997,64.68062,261.54636,103.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 18:00:00+00:00,5.6545,2.0,2.8799999,8.759006,3.371717,9.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 19:00:00+00:00,4.9045,2.0,2.16,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 20:00:00+00:00,4.1045003,99.0,1.08,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 21:00:00+00:00,4.7045,100.0,2.52,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 22:00:00+00:00,4.1545,98.0,2.8799999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-12 23:00:00+00:00,4.1045003,99.0,4.68,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 00:00:00+00:00,3.2045,72.0,5.3999996,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 01:00:00+00:00,3.5045,0.0,7.92,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 02:00:00+00:00,2.2545,7.0,4.68,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 03:00:00+00:00,2.3545,98.0,3.96,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 04:00:00+00:00,2.5045,23.0,4.68,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 05:00:00+00:00,2.0045,9.0,3.2399998,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 06:00:00+00:00,2.3044999,40.0,2.52,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 07:00:00+00:00,3.0544999,62.0,3.2399998,35.85363,96.7152,47.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 08:00:00+00:00,4.6545,25.0,2.16,90.274536,195.44838,135.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 09:00:00+00:00,5.8545003,15.0,4.68,125.96762,536.5735,318.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 10:00:00+00:00,6.6045003,54.0,5.04,145.9484,567.6326,407.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 11:00:00+00:00,7.1045003,99.0,2.8799999,175.8072,447.40094,412.0,Eelde,2025-03-11 18:01:16.673194
2025-03-13 12:00:00+00:00,7.2045,100.0,0.71999997,195.29915,139.41286,273.0,Eelde,2025-03-11 18:01:16.673194
