Forecasted Load,forecast_date,target_datetime
11710.0,2025-01-04,2025-01-04 23:30:00+01:00
11631.0,2025-01-04,2025-01-04 23:45:00+01:00
12999.0,2025-01-05,2025-01-05 00:00:00+01:00
12898.0,2025-01-05,2025-01-05 00:15:00+01:00
12793.0,2025-01-05,2025-01-05 00:30:00+01:00
12767.0,2025-01-05,2025-01-05 00:45:00+01:00
12622.0,2025-01-05,2025-01-05 01:00:00+01:00
12530.0,2025-01-05,2025-01-05 01:15:00+01:00
12448.0,2025-01-05,2025-01-05 01:30:00+01:00
12098.0,2025-01-05,2025-01-05 01:45:00+01:00
12057.0,2025-01-05,2025-01-05 02:00:00+01:00
11952.0,2025-01-05,2025-01-05 02:15:00+01:00
11902.0,2025-01-05,2025-01-05 02:30:00+01:00
11789.0,2025-01-05,2025-01-05 02:45:00+01:00
11597.0,2025-01-05,2025-01-05 03:00:00+01:00
11485.0,2025-01-05,2025-01-05 03:15:00+01:00
11373.0,2025-01-05,2025-01-05 03:30:00+01:00
11291.0,2025-01-05,2025-01-05 03:45:00+01:00
11317.0,2025-01-05,2025-01-05 04:00:00+01:00
11442.0,2025-01-05,2025-01-05 04:15:00+01:00
11412.0,2025-01-05,2025-01-05 04:30:00+01:00
11453.0,2025-01-05,2025-01-05 04:45:00+01:00
11325.0,2025-01-05,2025-01-05 05:00:00+01:00
11436.0,2025-01-05,2025-01-05 05:15:00+01:00
11403.0,2025-01-05,2025-01-05 05:30:00+01:00
11398.0,2025-01-05,2025-01-05 05:45:00+01:00
11482.0,2025-01-05,2025-01-05 06:00:00+01:00
11561.0,2025-01-05,2025-01-05 06:15:00+01:00
11674.0,2025-01-05,2025-01-05 06:30:00+01:00
11768.0,2025-01-05,2025-01-05 06:45:00+01:00
11929.0,2025-01-05,2025-01-05 07:00:00+01:00
12007.0,2025-01-05,2025-01-05 07:15:00+01:00
12140.0,2025-01-05,2025-01-05 07:30:00+01:00
12355.0,2025-01-05,2025-01-05 07:45:00+01:00
12645.0,2025-01-05,2025-01-05 08:00:00+01:00
12836.0,2025-01-05,2025-01-05 08:15:00+01:00
13104.0,2025-01-05,2025-01-05 08:30:00+01:00
13307.0,2025-01-05,2025-01-05 08:45:00+01:00
13543.0,2025-01-05,2025-01-05 09:00:00+01:00
13704.0,2025-01-05,2025-01-05 09:15:00+01:00
13799.0,2025-01-05,2025-01-05 09:30:00+01:00
13991.0,2025-01-05,2025-01-05 09:45:00+01:00
14101.0,2025-01-05,2025-01-05 10:00:00+01:00
14262.0,2025-01-05,2025-01-05 10:15:00+01:00
14334.0,2025-01-05,2025-01-05 10:30:00+01:00
14407.0,2025-01-05,2025-01-05 10:45:00+01:00
14427.0,2025-01-05,2025-01-05 11:00:00+01:00
14607.0,2025-01-05,2025-01-05 11:15:00+01:00
