Price,target_datetime,Load,shortwave_radiation,temperature_2m,direct_normal_irradiance,diffuse_radiation,Flow_NO,yearday_cos,Flow_GB,month,is_dst,yearday_sin,is_non_working_day,hour_cos,is_weekend,cloud_cover,weekday_sin,hour_sin,weekday_cos
-0.002,2025-05-12 09:00:00+00:00,3921.5,597.0,20.732500076293945,641.6995239257812,181.27960205078125,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.7071067811865475,0,91.0,0.0,0.7071067811865476,1.0
0.062259999999999996,2025-05-12 08:00:00+00:00,5323.0,484.0,19.182498931884766,628.3966064453125,154.03439331054688,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.49999999999999983,0,36.0,0.0,0.8660254037844387,1.0
0.10621,2025-05-12 07:00:00+00:00,7070.5,323.0,17.33249855041504,495.18524169921875,133.16717529296875,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,-0.25881904510252063,0,0.0,0.0,0.9659258262890683,1.0
0.12771,2025-05-12 06:00:00+00:00,8144.0,175.0,15.732500076293945,343.9028015136719,95.1150894165039,0.0,-0.6441592666722685,-0.5,5,1,0.7648913904341226,0,6.123233995736766e-17,0,24.0,0.0,1.0,1.0
0.12315000000000001,2025-05-12 05:00:00+00:00,8635.25,49.0,14.232500076293945,107.92053985595703,36.68003463745117,0.0,-0.6441592666722685,-1.5,5,1,0.7648913904341226,0,0.25881904510252074,0,0.0,0.0,0.9659258262890683,1.0
0.09115000000000001,2025-05-12 04:00:00+00:00,8887.75,0.0,13.682499885559082,0.0,0.0,0.0,-0.6441592666722685,611.75,5,1,0.7648913904341226,0,0.5000000000000001,0,7.0,0.0,0.8660254037844386,1.0
0.08033,2025-05-12 03:00:00+00:00,9063.5,0.0,14.232500076293945,0.0,0.0,0.0,-0.6441592666722685,661.75,5,1,0.7648913904341226,0,0.7071067811865476,0,1.0,0.0,0.7071067811865475,1.0
0.07744,2025-05-12 02:00:00+00:00,9130.25,0.0,14.882500648498535,0.0,0.0,0.0,-0.6441592666722685,421.75,5,1,0.7648913904341226,0,0.8660254037844387,0,1.0,0.0,0.49999999999999994,1.0
0.07701999999999999,2025-05-12 01:00:00+00:00,9290.0,0.0,15.282500267028809,0.0,0.0,0.0,-0.6441592666722685,121.75,5,1,0.7648913904341226,0,0.9659258262890683,0,0.0,0.0,0.25881904510252074,1.0
0.07725,2025-05-12 00:00:00+00:00,9445.25,0.0,15.532500267028809,0.0,0.0,0.0,-0.6441592666722685,-198.25,5,1,0.7648913904341226,0,1.0,0,39.0,0.0,0.0,1.0
0.08170000000000001,2025-05-11 23:00:00+00:00,9716.75,0.0,16.782499313354492,0.0,0.0,0.0,-0.6309066211876704,-257.0,5,1,0.7758587728069828,1,0.9659258262890681,1,0.0,-0.7818314824680299,-0.25881904510252157,0.6234898018587334
